Race/Ethnicity,Group,Year,Sex,County,Polk,Site,Cancer,SE,Lower CI,Upper CI,Count,Rate~Ratio,Ratio~Lower CI,Ratio~Upper CI,p,Pop,Sig
Hispanic (All Races),Hispanic,2008-2012,Male and Female,IA: Polk County (19153),Polk County,Leukemia,12.4,4.8,4.9,26.1,11,0.7106,0.2763,1.51,0.4721,"164,122",0
Non-Hispanic White,White,2008-2012,Male,IA: Polk County (19153),Polk County,Leukemia,21.5,1.7,18.4,25.1,173,,,,,"858,098",
Non-Hispanic Black,Black,2008-2012,Male,IA: Polk County (19153),Polk County,Leukemia,22.2,9.2,8.1,47.1,7,1.032,0.3689,2.2325,1.0000,"72,531",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2008-2012,Male,IA: Polk County (19153),Polk County,Leukemia,107.1,107.1,2.7,482.4,1,4.9714,0.1251,22.6951,0.3661,"2,758",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2008-2012,Male,IA: Polk County (19153),Polk County,Leukemia,11.1,7.4,1.6,42.2,3,0.5163,0.0732,1.9901,0.4944,"41,086",0
Hispanic (All Races),Hispanic,2008-2012,Male,IA: Polk County (19153),Polk County,Leukemia,20.1,9.4,6.1,49.5,8,0.9313,0.2798,2.3428,1.0000,"86,055",0
Non-Hispanic White,White,2008-2012,Female,IA: Polk County (19153),Polk County,Leukemia,14.5,1.2,12.3,17.1,150,,,,,"906,664",
Non-Hispanic Black,Black,2008-2012,Female,IA: Polk County (19153),Polk County,Leukemia,13.8,5.7,5,29.3,7,0.9479,0.3391,2.0653,1.0000,"70,892",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2008-2012,Female,IA: Polk County (19153),Polk County,Leukemia,0.0,,0,203.8,0,0,0,14.1792,1.0000,"3,049",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2008-2012,Female,IA: Polk County (19153),Polk County,Leukemia,6.3,6.3,0.2,29.2,1,0.4349,0.0109,2.0408,0.4306,"42,666",0
Hispanic (All Races),Hispanic,2008-2012,Female,IA: Polk County (19153),Polk County,Leukemia,5.3,3.3,0.9,20.9,3,0.3613,0.0625,1.4648,0.2360,"78,067",0
Non-Hispanic White,White,2013-2017,Male and Female,IA: Polk County (19153),Polk County,Leukemia,19.5,1,17.6,21.6,394,,,,,"1,847,141",
Non-Hispanic Black,Black,2013-2017,Male and Female,IA: Polk County (19153),Polk County,Leukemia,18.7,5.1,10.2,31.1,17,0.9612,0.5156,1.6129,0.9578,"171,274",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2013-2017,Male and Female,IA: Polk County (19153),Polk County,Leukemia,42.6,30.6,4.9,240.5,2,2.1865,0.2522,12.4046,0.4783,"5,085",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2013-2017,Male and Female,IA: Polk County (19153),Polk County,Leukemia,12.0,5.4,3.9,26.8,7,0.6169,0.1984,1.3874,0.2962,"111,119",0
Hispanic (All Races),Hispanic,2013-2017,Male and Female,IA: Polk County (19153),Polk County,Leukemia,5.7,1.9,2.5,13,11,0.29,0.1286,0.6712,0.0009,"198,954",1
Non-Hispanic White,White,2013-2017,Male,IA: Polk County (19153),Polk County,Leukemia,26.7,1.8,23.3,30.4,241,,,,,"902,988",
Non-Hispanic Black,Black,2013-2017,Male,IA: Polk County (19153),Polk County,Leukemia,17.4,6.9,6.6,36.9,8,0.651,0.2433,1.4066,0.3441,"87,048",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2013-2017,Male,IA: Polk County (19153),Polk County,Leukemia,97.5,69,11.8,494.3,2,3.6565,0.439,18.7193,0.2119,"2,289",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2013-2017,Male,IA: Polk County (19153),Polk County,Leukemia,17.2,10.6,3.1,49.1,4,0.6457,0.1139,1.8644,0.5222,"55,242",0
Hispanic (All Races),Hispanic,2013-2017,Male,IA: Polk County (19153),Polk County,Leukemia,8.4,3.4,3.1,23.2,8,0.3142,0.1168,0.8819,0.0210,"103,300",1
Non-Hispanic White,White,2013-2017,Female,IA: Polk County (19153),Polk County,Leukemia,13.7,1.1,11.5,16.1,153,,,,,"944,153",
Non-Hispanic Black,Black,2013-2017,Female,IA: Polk County (19153),Polk County,Leukemia,19.6,7.1,8.2,38,9,1.4343,0.5911,2.8485,0.4331,"84,226",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2013-2017,Female,IA: Polk County (19153),Polk County,Leukemia,0.0,,0,555.7,0,0,0,40.9992,1.0000,"2,796",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2013-2017,Female,IA: Polk County (19153),Polk County,Leukemia,9.2,6.2,1.3,29,3,0.6705,0.0918,2.1572,0.6674,"55,877",0
Hispanic (All Races),Hispanic,2013-2017,Female,IA: Polk County (19153),Polk County,Leukemia,2.9,1.9,0.4,15.3,3,0.2131,0.0309,1.1326,0.0849,"95,654",0
Non-Hispanic White,White,2018-2022,Male and Female,IA: Polk County (19153),Polk County,Leukemia,17.0,0.9,15.3,18.8,382,,,,,"1,889,355",
Non-Hispanic Black,Black,2018-2022,Male and Female,IA: Polk County (19153),Polk County,Leukemia,24.1,4.9,15.6,35.7,32,1.4219,0.9043,2.1365,0.1260,"199,321",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2018-2022,Male and Female,IA: Polk County (19153),Polk County,Leukemia,28.5,28.5,0.7,523.9,1,1.681,0.0424,30.9987,0.8982,"4,957",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2018-2022,Male and Female,IA: Polk County (19153),Polk County,Leukemia,11.5,5.2,3.7,25.3,6,0.6776,0.2164,1.5046,0.4021,"132,262",0
Hispanic (All Races),Hispanic,2018-2022,Male and Female,IA: Polk County (19153),Polk County,Leukemia,18.5,5.8,9,32.8,20,1.0926,0.5232,1.9553,0.8698,"240,639",0
Non-Hispanic White,White,2018-2022,Male,IA: Polk County (19153),Polk County,Leukemia,21.2,1.5,18.4,24.4,221,,,,,"927,905",
Non-Hispanic Black,Black,2018-2022,Male,IA: Polk County (19153),Polk County,Leukemia,34.8,9.8,18.4,59.8,19,1.6402,0.8514,2.8765,0.1366,"102,863",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2018-2022,Male,IA: Polk County (19153),Polk County,Leukemia,0.0,,0,612.5,0,0,0,29.0322,1.0000,"2,289",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2018-2022,Male,IA: Polk County (19153),Polk County,Leukemia,14.0,7.8,3.1,37.7,4,0.6569,0.144,1.7996,0.5304,"66,340",0
Hispanic (All Races),Hispanic,2018-2022,Male,IA: Polk County (19153),Polk County,Leukemia,18.6,7.9,6.5,39.8,10,0.8743,0.3021,1.902,0.8272,"124,784",0
Non-Hispanic White,White,2018-2022,Female,IA: Polk County (19153),Polk County,Leukemia,13.7,1.1,11.6,16,161,,,,,"961,450",
Non-Hispanic Black,Black,2018-2022,Female,IA: Polk County (19153),Polk County,Leukemia,16.6,4.9,8.4,29.6,13,1.2118,0.6036,2.2318,0.6168,"96,458",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2018-2022,Female,IA: Polk County (19153),Polk County,Leukemia,46.2,46.2,1.2,445,1,3.3803,0.085,32.9703,0.5150,"2,668",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2018-2022,Female,IA: Polk County (19153),Polk County,Leukemia,8.0,5.8,0.9,25.9,2,0.5824,0.0636,1.9307,0.4945,"65,922",0
Hispanic (All Races),Hispanic,2018-2022,Female,IA: Polk County (19153),Polk County,Leukemia,19.0,8.8,5.8,42.5,10,1.3913,0.4196,3.1791,0.6193,"115,855",0
Non-Hispanic White,White,2003-2007,Male and Female,Not Polk,Not Polk,Leukemia,16.5,0.3,15.8,17.2,"2,416",,,,,"11,868,621",
Non-Hispanic Black,Black,2003-2007,Male and Female,Not Polk,Not Polk,Leukemia,10.5,3.1,5.3,18,13,0.6346,0.3213,1.0963,0.1122,"297,762",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2003-2007,Male and Female,Not Polk,Not Polk,Leukemia,12.4,8.8,1.5,42.6,2,0.7498,0.0879,2.5844,0.8523,"41,129",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2003-2007,Male and Female,Not Polk,Not Polk,Leukemia,0.8,0.6,0.1,7.7,2,0.0498,0.0049,0.466,0.0006,"172,165",1
Hispanic (All Races),Hispanic,2003-2007,Male and Female,Not Polk,Not Polk,Leukemia,8.6,2.1,5,13.9,26,0.5229,0.3031,0.8456,0.0054,"463,782",1
Non-Hispanic White,White,2003-2007,Male,Not Polk,Not Polk,Leukemia,21.6,0.6,20.4,22.7,"1,378",,,,,"5,829,578",
Non-Hispanic Black,Black,2003-2007,Male,Not Polk,Not Polk,Leukemia,5.5,3.2,1.1,15.6,4,0.2546,0.0524,0.7234,0.0048,"158,622",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2003-2007,Male,Not Polk,Not Polk,Leukemia,12.4,12.4,0.3,84.7,1,0.5736,0.0145,3.9343,0.8564,"19,986",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2003-2007,Male,Not Polk,Not Polk,Leukemia,1.1,1.1,0,17.6,1,0.0529,0.0013,0.8153,0.0233,"85,399",1
Hispanic (All Races),Hispanic,2003-2007,Male,Not Polk,Not Polk,Leukemia,9.2,3.1,4.1,18.1,13,0.4263,0.1911,0.8436,0.0097,"248,052",1
Non-Hispanic White,White,2003-2007,Female,Not Polk,Not Polk,Leukemia,12.7,0.4,11.9,13.5,"1,038",,,,,"6,039,043",
Non-Hispanic Black,Black,2003-2007,Female,Not Polk,Not Polk,Leukemia,13.0,4.5,5.8,24.4,9,1.0262,0.4548,1.9372,1.0000,"139,140",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2003-2007,Female,Not Polk,Not Polk,Leukemia,12.7,12.7,0.3,61,1,1.003,0.0254,4.8237,1.0000,"21,143",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2003-2007,Female,Not Polk,Not Polk,Leukemia,0.6,0.6,0,13.4,1,0.0456,0.0012,1.0593,0.0598,"86,766",0
Hispanic (All Races),Hispanic,2003-2007,Female,Not Polk,Not Polk,Leukemia,8.1,2.9,3.5,16,13,0.6377,0.2735,1.27,0.2493,"215,730",0
Non-Hispanic White,White,2008-2012,Male and Female,Not Polk,Not Polk,Leukemia,16.6,0.3,15.9,17.3,"2,515",,,,,"11,867,227",
Non-Hispanic Black,Black,2008-2012,Male and Female,Not Polk,Not Polk,Leukemia,10.9,2.7,6.3,17.3,21,0.6558,0.3792,1.0432,0.0786,"369,675",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2008-2012,Male and Female,Not Polk,Not Polk,Leukemia,21.3,10.5,6,52.1,6,1.2868,0.3614,3.1461,0.7455,"43,241",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2008-2012,Male and Female,Not Polk,Not Polk,Leukemia,5.2,2.5,1.5,12.7,6,0.3108,0.0911,0.7645,0.0059,"214,229",1
Hispanic (All Races),Hispanic,2008-2012,Male and Female,Not Polk,Not Polk,Leukemia,10.2,2.5,5.9,16.2,32,0.6153,0.3532,0.9772,0.0385,"597,466",1
Non-Hispanic White,White,2008-2012,Male,Not Polk,Not Polk,Leukemia,21.1,0.6,20,22.2,"1,436",,,,,"5,854,720",
Non-Hispanic Black,Black,2008-2012,Male,Not Polk,Not Polk,Leukemia,13.6,4.5,6.3,25.2,13,0.6425,0.2961,1.1991,0.1920,"197,713",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2008-2012,Male,Not Polk,Not Polk,Leukemia,32.7,20.8,5.4,102.9,4,1.5499,0.254,4.8866,0.6736,"21,165",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2008-2012,Male,Not Polk,Not Polk,Leukemia,8.1,5.6,1,27,3,0.3835,0.0484,1.2825,0.1491,"106,882",0
Hispanic (All Races),Hispanic,2008-2012,Male,Not Polk,Not Polk,Leukemia,11.2,3.9,5,21.2,19,0.5324,0.2356,1.0053,0.0523,"315,744",0
Non-Hispanic White,White,2008-2012,Female,Not Polk,Not Polk,Leukemia,13.0,0.4,12.2,13.9,"1,079",,,,,"6,012,507",
Non-Hispanic Black,Black,2008-2012,Female,Not Polk,Not Polk,Leukemia,8.3,3.1,3.3,16.6,8,0.6377,0.2566,1.2839,0.2523,"171,962",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2008-2012,Female,Not Polk,Not Polk,Leukemia,12.7,9.8,1.1,50.4,2,0.974,0.0863,3.8847,1.0000,"22,076",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2008-2012,Female,Not Polk,Not Polk,Leukemia,3.5,2.1,0.7,12.5,3,0.2709,0.0502,0.9608,0.0400,"107,347",1
Hispanic (All Races),Hispanic,2008-2012,Female,Not Polk,Not Polk,Leukemia,9.2,3.4,3.9,17.8,13,0.7112,0.2981,1.3723,0.3590,"281,722",0
Non-Hispanic White,White,2013-2017,Male and Female,Not Polk,Not Polk,Leukemia,17.6,0.3,16.9,18.3,"2,755",,,,,"11,826,215",
Non-Hispanic Black,Black,2013-2017,Male and Female,Not Polk,Not Polk,Leukemia,14.4,2.8,9.5,20.9,36,0.8197,0.5351,1.1902,0.3261,"454,551",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2013-2017,Male and Female,Not Polk,Not Polk,Leukemia,10.2,4.6,3.3,26.2,5,0.5777,0.1853,1.4897,0.3846,"45,872",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2013-2017,Male and Female,Not Polk,Not Polk,Leukemia,8.7,2.9,4,16.1,15,0.4963,0.2276,0.9133,0.0211,"291,193",1
Hispanic (All Races),Hispanic,2013-2017,Male and Female,Not Polk,Not Polk,Leukemia,11.0,1.9,7.6,15.3,54,0.6228,0.431,0.8688,0.0038,"720,568",1
Non-Hispanic White,White,2013-2017,Male,Not Polk,Not Polk,Leukemia,23.0,0.6,21.9,24.2,"1,652",,,,,"5,869,665",
Non-Hispanic Black,Black,2013-2017,Male,Not Polk,Not Polk,Leukemia,21.8,5.3,12.7,34.4,24,0.9452,0.5485,1.4986,0.8779,"244,333",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2013-2017,Male,Not Polk,Not Polk,Leukemia,8.5,6,1,39.9,2,0.3705,0.0448,1.7364,0.3647,"22,541",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2013-2017,Male,Not Polk,Not Polk,Leukemia,17.0,8.2,5,38.1,8,0.7382,0.2154,1.6595,0.5128,"147,414",0
Hispanic (All Races),Hispanic,2013-2017,Male,Not Polk,Not Polk,Leukemia,12.0,2.9,7,19.1,28,0.5212,0.3025,0.8328,0.0042,"377,294",1
Non-Hispanic White,White,2013-2017,Female,Not Polk,Not Polk,Leukemia,13.2,0.4,12.4,14.1,"1,103",,,,,"5,956,550",
Non-Hispanic Black,Black,2013-2017,Female,Not Polk,Not Polk,Leukemia,7.7,2.6,3.5,14.6,12,0.5825,0.2601,1.1086,0.1122,"210,218",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2013-2017,Female,Not Polk,Not Polk,Leukemia,11.7,6.8,2.3,38.4,3,0.8819,0.1762,2.9128,1.0000,"23,331",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2013-2017,Female,Not Polk,Not Polk,Leukemia,4.8,1.9,1.9,11,7,0.366,0.1432,0.8376,0.0107,"143,779",1
Hispanic (All Races),Hispanic,2013-2017,Female,Not Polk,Not Polk,Leukemia,10.3,2.5,6,16.5,26,0.7785,0.448,1.2524,0.3497,"343,274",0
Non-Hispanic White,White,2018-2022,Male and Female,Not Polk,Not Polk,Leukemia,17.1,0.3,16.4,17.8,"2,782",,,,,"11,700,594",
Non-Hispanic Black,Black,2018-2022,Male and Female,Not Polk,Not Polk,Leukemia,13.4,2.4,9.1,18.7,42,0.7805,0.5321,1.0976,0.1667,"546,906",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2018-2022,Male and Female,Not Polk,Not Polk,Leukemia,15.3,6,5.9,32.3,7,0.8954,0.3463,1.8934,0.9668,"49,345",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2018-2022,Male and Female,Not Polk,Not Polk,Leukemia,9.4,2.1,5.7,14.6,23,0.548,0.3312,0.8526,0.0052,"336,483",1
Hispanic (All Races),Hispanic,2018-2022,Male and Female,Not Polk,Not Polk,Leukemia,10.4,1.7,7.4,14.2,59,0.6105,0.4342,0.8307,0.0010,"843,681",1
Non-Hispanic White,White,2018-2022,Male,Not Polk,Not Polk,Leukemia,22.5,0.6,21.4,23.7,"1,696",,,,,"5,831,071",
Non-Hispanic Black,Black,2018-2022,Male,Not Polk,Not Polk,Leukemia,16.6,3.9,9.8,25.9,26,0.7359,0.4359,1.1558,0.2053,"293,761",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2018-2022,Male,Not Polk,Not Polk,Leukemia,13.6,7.9,2.8,41.2,3,0.6046,0.1221,1.8343,0.5738,"24,139",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2018-2022,Male,Not Polk,Not Polk,Leukemia,7.2,2.7,3,15.1,10,0.3182,0.1308,0.6718,0.0007,"170,572",1
Hispanic (All Races),Hispanic,2018-2022,Male,Not Polk,Not Polk,Leukemia,8.2,2.1,4.6,13.2,26,0.3632,0.2058,0.59,0.0000,"441,297",1
Non-Hispanic White,White,2018-2022,Female,Not Polk,Not Polk,Leukemia,12.4,0.4,11.7,13.3,"1,086",,,,,"5,869,523",
Non-Hispanic Black,Black,2018-2022,Female,Not Polk,Not Polk,Leukemia,10.5,2.9,5.6,17.7,16,0.8418,0.4452,1.4258,0.5986,"253,145",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2018-2022,Female,Not Polk,Not Polk,Leukemia,16.5,8.5,4.3,43.6,4,1.3269,0.3423,3.5185,0.7296,"25,206",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2018-2022,Female,Not Polk,Not Polk,Leukemia,10.8,3.1,5.6,18.7,13,0.8675,0.4461,1.514,0.7297,"165,911",0
Hispanic (All Races),Hispanic,2018-2022,Female,Not Polk,Not Polk,Leukemia,12.6,2.6,8.1,18.6,33,1.0163,0.6494,1.5055,0.9948,"402,384",0
Non-Hispanic White,White,2003-2007,Male and Female,IA: Polk County (19153),Polk County,Myeloma,4.9,0.5,3.9,6.1,83,,,,,"1,689,105",
Non-Hispanic Black,Black,2003-2007,Male and Female,IA: Polk County (19153),Polk County,Myeloma,20.6,5.8,10.8,34.9,13,4.2203,2.1229,7.5544,0.0001,"115,761",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2003-2007,Male and Female,IA: Polk County (19153),Polk County,Myeloma,0.0,,0,128.6,0,0,0,26.8568,1.0000,"5,859",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2003-2007,Male and Female,IA: Polk County (19153),Polk County,Myeloma,15.1,10.8,1.8,46,2,3.1005,0.3556,9.7122,0.2885,"67,567",0
Hispanic (All Races),Hispanic,2003-2007,Male and Female,IA: Polk County (19153),Polk County,Myeloma,1.1,1.1,0,12.5,1,0.2354,0.0059,2.625,0.4911,"120,193",0
Non-Hispanic White,White,2003-2007,Male,IA: Polk County (19153),Polk County,Myeloma,5.6,0.9,3.9,7.6,39,,,,,"817,157",
Non-Hispanic Black,Black,2003-2007,Male,IA: Polk County (19153),Polk County,Myeloma,12.6,6.6,3.2,33.4,4,2.2747,0.5448,6.5067,0.2537,"57,878",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2003-2007,Male,IA: Polk County (19153),Polk County,Myeloma,0.0,,0,277.4,0,0,0,52.0802,1.0000,"2,859",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2003-2007,Male,IA: Polk County (19153),Polk County,Myeloma,46.5,33.2,5.4,138.9,2,8.363,0.9473,26.6719,0.0551,"33,249",0
Hispanic (All Races),Hispanic,2003-2007,Male,IA: Polk County (19153),Polk County,Myeloma,2.0,2,0.1,37,1,0.358,0.0089,6.9551,0.8716,"64,203",0
Non-Hispanic White,White,2003-2007,Female,IA: Polk County (19153),Polk County,Myeloma,4.5,0.7,3.2,6,44,,,,,"871,948",
Non-Hispanic Black,Black,2003-2007,Female,IA: Polk County (19153),Polk County,Myeloma,25.5,8.6,11.6,47.4,9,5.6926,2.4189,11.6055,0.0002,"57,883",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2003-2007,Female,IA: Polk County (19153),Polk County,Myeloma,0.0,,0,325.2,0,0,0,75.3248,1.0000,"3,000",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2003-2007,Female,IA: Polk County (19153),Polk County,Myeloma,0.0,,0,20.6,0,0,0,4.7831,0.7150,"34,318",0
Hispanic (All Races),Hispanic,2003-2007,Female,IA: Polk County (19153),Polk County,Myeloma,0.0,,0,19,0,0,0,4.4037,0.6270,"55,990",0
Non-Hispanic White,White,2008-2012,Male and Female,IA: Polk County (19153),Polk County,Myeloma,6.4,0.6,5.3,7.7,122,,,,,"1,764,762",
Non-Hispanic Black,Black,2008-2012,Male and Female,IA: Polk County (19153),Polk County,Myeloma,13.5,4.4,6.3,24.7,10,2.1079,0.9555,3.9873,0.0640,"143,423",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2008-2012,Male and Female,IA: Polk County (19153),Polk County,Myeloma,0.0,,0,104.5,0,0,0,16.5286,1.0000,"5,807",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2008-2012,Male and Female,IA: Polk County (19153),Polk County,Myeloma,6.4,3.9,1.2,19.3,3,0.9932,0.1795,3.0813,1.0000,"83,752",0
Hispanic (All Races),Hispanic,2008-2012,Male and Female,IA: Polk County (19153),Polk County,Myeloma,1.9,1.4,0.2,10.1,2,0.2954,0.0294,1.6095,0.2598,"164,122",0
Non-Hispanic White,White,2008-2012,Male,IA: Polk County (19153),Polk County,Myeloma,8.9,1.1,6.9,11.2,73,,,,,"858,098",
Non-Hispanic Black,Black,2008-2012,Male,IA: Polk County (19153),Polk County,Myeloma,13.1,10,1.2,42,2,1.4736,0.133,4.8941,0.8435,"72,531",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2008-2012,Male,IA: Polk County (19153),Polk County,Myeloma,0.0,,0,233.8,0,0,0,26.9854,1.0000,"2,758",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2008-2012,Male,IA: Polk County (19153),Polk County,Myeloma,6.8,4.8,0.8,34.4,2,0.7682,0.0898,4.0032,1.0000,"41,086",0
Hispanic (All Races),Hispanic,2008-2012,Male,IA: Polk County (19153),Polk County,Myeloma,2.5,2.5,0.1,22.8,1,0.2839,0.0071,2.6385,0.4918,"86,055",0
Non-Hispanic White,White,2008-2012,Female,IA: Polk County (19153),Polk County,Myeloma,4.5,0.7,3.3,6,49,,,,,"906,664",
Non-Hispanic Black,Black,2008-2012,Female,IA: Polk County (19153),Polk County,Myeloma,19.2,6.9,8.1,37.2,8,4.25,1.6955,8.9282,0.0029,"70,892",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2008-2012,Female,IA: Polk County (19153),Polk County,Myeloma,0.0,,0,203.8,0,0,0,46.8114,1.0000,"3,049",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2008-2012,Female,IA: Polk County (19153),Polk County,Myeloma,5.7,5.7,0.1,27.4,1,1.2701,0.0314,6.354,1.0000,"42,666",0
Hispanic (All Races),Hispanic,2008-2012,Female,IA: Polk County (19153),Polk County,Myeloma,1.3,1.3,0,15.6,1,0.2988,0.0074,3.5882,0.7221,"78,067",0
Non-Hispanic White,White,2013-2017,Male and Female,IA: Polk County (19153),Polk County,Myeloma,7.7,0.6,6.6,9.1,163,,,,,"1,847,141",
Non-Hispanic Black,Black,2013-2017,Male and Female,IA: Polk County (19153),Polk County,Myeloma,15.6,4.5,8,26.8,15,2.0119,1.0142,3.555,0.0456,"171,274",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2013-2017,Male and Female,IA: Polk County (19153),Polk County,Myeloma,0.0,,0,192.5,0,0,0,25.0944,1.0000,"5,085",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2013-2017,Male and Female,IA: Polk County (19153),Polk County,Myeloma,10.5,5.2,2.9,25.1,5,1.3595,0.3721,3.3028,0.6834,"111,119",0
Hispanic (All Races),Hispanic,2013-2017,Male and Female,IA: Polk County (19153),Polk County,Myeloma,3.6,2.5,0.4,12.4,3,0.4591,0.0567,1.6313,0.3187,"198,954",0
Non-Hispanic White,White,2013-2017,Male,IA: Polk County (19153),Polk County,Myeloma,10.6,1.1,8.5,13,98,,,,,"902,988",
Non-Hispanic Black,Black,2013-2017,Male,IA: Polk County (19153),Polk County,Myeloma,17.0,7,6.2,36.7,8,1.6105,0.5735,3.6119,0.3683,"87,048",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2013-2017,Male,IA: Polk County (19153),Polk County,Myeloma,0.0,,0,374.5,0,0,0,36.1063,1.0000,"2,289",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2013-2017,Male,IA: Polk County (19153),Polk County,Myeloma,12.3,7.7,2.1,38.2,3,1.1697,0.195,3.7296,0.9849,"55,242",0
Hispanic (All Races),Hispanic,2013-2017,Male,IA: Polk County (19153),Polk County,Myeloma,6.0,4.8,0.4,24.4,2,0.5643,0.0408,2.3705,0.6065,"103,300",0
